time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1991-04-29T10:19:41.340Z,42.216,43.589,10,4.5,mb,,,,1.1,us,usp0004qzg,2014-11-07T00:48:28.068Z,"20 km SE of Sach’khere, Georgia",earthquake,,,,13,reviewed,us,us
1991-04-29T10:15:34.710Z,42.783,43.864,10,4.5,mb,,,,1.4,us,usp0004qzf,2014-11-07T00:48:28.062Z,"17 km WSW of Mizur, Russia",earthquake,,,,10,reviewed,us,us
1991-04-29T10:01:12.430Z,42.356,43.864,10,4.8,mb,,,,1.1,us,usp0004qze,2022-04-28T19:20:01.753Z,"7 km SW of Java, Georgia",earthquake,,,,27,reviewed,us,us
1991-04-29T09:59:24.080Z,42.617,43.4,10,4.6,mb,,,,1.1,us,usp0004qzd,2014-11-07T00:48:28.047Z,"5 km NW of Oni, Georgia",earthquake,,,,26,reviewed,us,us
1991-04-29T09:37:37.260Z,42.568,43.881,10,4.9,mb,,,,1,us,usp0004qzc,2022-04-28T19:19:55.893Z,"19 km NNW of Java, Georgia",earthquake,,,,26,reviewed,us,us
1991-04-29T09:12:48.100Z,42.453,43.673,17.2,7,mw,,,,1.2,us,usp0004qza,2022-04-28T19:19:50.183Z,"22 km WNW of Java, Georgia",earthquake,,,,,reviewed,us,hrv
1991-04-27T03:31:58.530Z,40.093,43.719,10,4.2,mb,,,,1.5,us,usp0004qw9,2014-11-07T00:48:27.639Z,"18 km WNW of Shenavan, Armenia",earthquake,,,,8,reviewed,us,us
1991-04-24T10:54:35.740Z,39.597,41.118,33,4.5,mb,,,,0.8,us,usp0004qs0,2020-08-29T00:42:03.144Z,"33 km W of Tekman, Turkey",earthquake,,,,19,reviewed,us,us
1991-03-27T22:17:55.030Z,40.443,45.443,33,4.3,mb,,,,1.2,us,usp0004pn5,2014-11-07T00:48:14.727Z,"15 km SSE of Vahan, Armenia",earthquake,,,,8,reviewed,us,us
1991-01-01T19:18:56.480Z,39.822,48.439,60.7,4.9,mb,,,,1.2,us,usp0004k2r,2014-11-07T00:47:43.964Z,"7 km SSE of ?hm?db?yli, Azerbaijan",earthquake,,,,43,reviewed,us,us
1990-12-23T21:28:50.710Z,42.115,44.356,33,4.1,mb,,,,1.3,us,usp0004jpf,2014-11-07T00:47:39.049Z,"10 km W of Akhalgori, Georgia",earthquake,,,,4,reviewed,us,us
1990-12-16T15:45:40.700Z,41.361,43.715,33,5.5,mw,,,,1.2,us,usp0004j77,2022-04-28T19:30:54.218Z,"14 km NE of Ninotsminda, Georgia",earthquake,,,,,reviewed,us,hrv
1990-09-24T06:35:13.930Z,38.253,47.951,10,4.6,mb,,,,1.4,us,usp0004f0r,2014-11-07T00:47:08.095Z,"17 km WSW of Om?dcheh, Iran",earthquake,,,,7,reviewed,us,us
1990-09-22T02:46:01.220Z,42.538,46.449,33,4.3,mb,,,,1.3,us,usp0004eyd,2014-11-07T00:47:07.806Z,"10 km SW of Siukh, Russia",earthquake,,,,5,reviewed,us,us
1990-08-02T21:17:18.740Z,38.398,48.228,33,4.1,mb,,,,0.5,us,usp0004cwb,2014-11-07T00:46:52.264Z,"14 km NNE of Om?dcheh, Iran",earthquake,,,,2,reviewed,us,us
1990-08-02T17:12:48.520Z,38.54,48.186,33,4.2,mb,,,,0.5,us,usp0004cvv,2014-11-07T00:46:52.162Z,"28 km N of Om?dcheh, Iran",earthquake,,,,2,reviewed,us,us
1990-07-23T20:54:56.680Z,42.719,45.947,33,4.8,mb,,,,0.9,us,usp0004ceu,2014-11-07T00:46:45.754Z,"14 km WNW of Ansalta, Russia",earthquake,,,,11,reviewed,us,us
